ZIP,COUNTYNAME,STCOUNTYFP,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec
36003,Autauga County,1001,57.7,69.8,68.8,78.0,87.9,90.6,92.7,93.9,96.3,80.8,65.5,62.5
36006,Autauga County,1001,57.7,69.8,68.8,78.0,87.9,90.6,92.7,93.9,96.3,80.8,65.5,62.5
36067,Autauga County,1001,57.7,69.8,68.8,78.0,87.9,90.6,92.7,93.9,96.3,80.8,65.5,62.5
36066,Autauga County,1001,57.7,69.8,68.8,78.0,87.9,90.6,92.7,93.9,96.3,80.8,65.5,62.5
36703,Autauga County,1001,57.7,69.8,68.8,78.0,87.9,90.6,92.7,93.9,96.3,80.8,65.5,62.5
36701,Autauga County,1001,57.7,69.8,68.8,78.0,87.9,90.6,92.7,93.9,96.3,80.8,65.5,62.5
36091,Autauga County,1001,57.7,69.8,68.8,78.0,87.9,90.6,92.7,93.9,96.3,80.8,65.5,62.5
36051,Autauga County,1001,57.7,69.8,68.8,78.0,87.9,90.6,92.7,93.9,96.3,80.8,65.5,62.5
36068,Autauga County,1001,57.7,69.8,68.8,78.0,87.9,90.6,92.7,93.9,96.3,80.8,65.5,62.5
36008,Autauga County,1001,57.7,69.8,68.8,78.0,87.9,90.6,92.7,93.9,96.3,80.8,65.5,62.5
36022,Autauga County,1001,57.7,69.8,68.8,78.0,87.9,90.6,92.7,93.9,96.3,80.8,65.5,62.5
36749,Autauga County,1001,57.7,69.8,68.8,78.0,87.9,90.6,92.7,93.9,96.3,80.8,65.5,62.5
36758,Autauga County,1001,57.7,69.8,68.8,78.0,87.9,90.6,92.7,93.9,96.3,80.8,65.5,62.5
36550,Baldwin County,1003,61.8,70.4,70.6,76.7,86.7,90.2,91.4,91.4,92.6,82.3,68.6,65.1
36551,Baldwin County,1003,61.8,70.4,70.6,76.7,86.7,90.2,91.4,91.4,92.6,82.3,68.6,65.1
36527,Baldwin County,1003,61.8,70.4,70.6,76.7,86.7,90.2,91.4,91.4,92.6,82.3,68.6,65.1
36577,Baldwin County,1003,61.8,70.4,70.6,76.7,86.7,90.2,91.4,91.4,92.6,82.3,68.6,65.1
36559,Baldwin County,1003,61.8,70.4,70.6,76.7,86.7,90.2,91.4,91.4,92.6,82.3,68.6,65.1
36536,Baldwin County,1003,61.8,70.4,70.6,76.7,86.7,90.2,91.4,91.4,92.6,82.3,68.6,65.1
36576,Baldwin County,1003,61.8,70.4,70.6,76.7,86.7,90.2,91.4,91.4,92.6,82.3,68.6,65.1
36579,Baldwin County,1003,61.8,70.4,70.6,76.7,86.7,90.2,91.4,91.4,92.6,82.3,68.6,65.1
36502,Baldwin County,1003,61.8,70.4,70.6,76.7,86.7,90.2,91.4,91.4,92.6,82.3,68.6,65.1
36578,Baldwin County,1003,61.8,70.4,70.6,76.7,86.7,90.2,91.4,91.4,92.6,82.3,68.6,65.1
36533,Baldwin County,1003,61.8,70.4,70.6,76.7,86.7,90.2,91.4,91.4,92.6,82.3,68.6,65.1
36564,Baldwin County,1003,61.8,70.4,70.6,76.7,86.7,90.2,91.4,91.4,92.6,82.3,68.6,65.1
36561,Baldwin County,1003,61.8,70.4,70.6,76.7,86.7,90.2,91.4,91.4,92.6,82.3,68.6,65.1
36580,Baldwin County,1003,61.8,70.4,70.6,76.7,86.7,90.2,91.4,91.4,92.6,82.3,68.6,65.1
36535,Baldwin County,1003,61.8,70.4,70.6,76.7,86.7,90.2,91.4,91.4,92.6,82.3,68.6,65.1
36547,Baldwin County,1003,61.8,70.4,70.6,76.7,86.7,90.2,91.4,91.4,92.6,82.3,68.6,65.1
36549,Baldwin County,1003,61.8,70.4,70.6,76.7,86.7,90.2,91.4,91.4,92.6,82.3,68.6,65.1
36530,Baldwin County,1003,61.8,70.4,70.6,76.7,86.7,90.2,91.4,91.4,92.6,82.3,68.6,65.1
36562,Baldwin County,1003,61.8,70.4,70.6,76.7,86.7,90.2,91.4,91.4,92.6,82.3,68.6,65.1
36532,Baldwin County,1003,61.8,70.4,70.6,76.7,86.7,90.2,91.4,91.4,92.6,82.3,68.6,65.1
36526,Baldwin County,1003,61.8,70.4,70.6,76.7,86.7,90.2,91.4,91.4,92.6,82.3,68.6,65.1
36555,Baldwin County,1003,61.8,70.4,70.6,76.7,86.7,90.2,91.4,91.4,92.6,82.3,68.6,65.1
36511,Baldwin County,1003,61.8,70.4,70.6,76.7,86.7,90.2,91.4,91.4,92.6,82.3,68.6,65.1
36567,Baldwin County,1003,61.8,70.4,70.6,76.7,86.7,90.2,91.4,91.4,92.6,82.3,68.6,65.1
36574,Baldwin County,1003,61.8,70.4,70.6,76.7,86.7,90.2,91.4,91.4,92.6,82.3,68.6,65.1
36480,Baldwin County,1003,61.8,70.4,70.6,76.7,86.7,90.2,91.4,91.4,92.6,82.3,68.6,65.1
36507,Baldwin County,1003,61.8,70.4,70.6,76.7,86.7,90.2,91.4,91.4,92.6,82.3,68.6,65.1
36542,Baldwin County,1003,61.8,70.4,70.6,76.7,86.7,90.2,91.4,91.4,92.6,82.3,68.6,65.1
36017,Barbour County,1005,59.6,69.0,68.7,77.1,87.3,91.0,92.8,92.1,93.8,81.5,64.8,61.5
36016,Barbour County,1005,59.6,69.0,68.7,77.1,87.3,91.0,92.8,92.1,93.8,81.5,64.8,61.5
36311,Barbour County,1005,59.6,69.0,68.7,77.1,87.3,91.0,92.8,92.1,93.8,81.5,64.8,61.5
36374,Barbour County,1005,59.6,69.0,68.7,77.1,87.3,91.0,92.8,92.1,93.8,81.5,64.8,61.5
36048,Barbour County,1005,59.6,69.0,68.7,77.1,87.3,91.0,92.8,92.1,93.8,81.5,64.8,61.5
36053,Barbour County,1005,59.6,69.0,68.7,77.1,87.3,91.0,92.8,92.1,93.8,81.5,64.8,61.5
36317,Barbour County,1005,59.6,69.0,68.7,77.1,87.3,91.0,92.8,92.1,93.8,81.5,64.8,61.5
36027,Barbour County,1005,59.6,69.0,68.7,77.1,87.3,91.0,92.8,92.1,93.8,81.5,64.8,61.5
36072,Barbour County,1005,59.6,69.0,68.7,77.1,87.3,91.0,92.8,92.1,93.8,81.5,64.8,61.5
35035,Bibb County,1007,55.8,66.5,66.8,76.2,85.9,88.9,91.0,92.3,94.3,78.6,63.3,60.4
35034,Bibb County,1007,55.8,66.5,66.8,76.2,85.9,88.9,91.0,92.3,94.3,78.6,63.3,60.4
36750,Bibb County,1007,55.8,66.5,66.8,76.2,85.9,88.9,91.0,92.3,94.3,78.6,63.3,60.4
35115,Bibb County,1007,55.8,66.5,66.8,76.2,85.9,88.9,91.0,92.3,94.3,78.6,63.3,60.4
35188,Bibb County,1007,55.8,66.5,66.8,76.2,85.9,88.9,91.0,92.3,94.3,78.6,63.3,60.4
36793,Bibb County,1007,55.8,66.5,66.8,76.2,85.9,88.9,91.0,92.3,94.3,78.6,63.3,60.4
35074,Bibb County,1007,55.8,66.5,66.8,76.2,85.9,88.9,91.0,92.3,94.3,78.6,63.3,60.4
35042,Bibb County,1007,55.8,66.5,66.8,76.2,85.9,88.9,91.0,92.3,94.3,78.6,63.3,60.4
35111,Bibb County,1007,55.8,66.5,66.8,76.2,85.9,88.9,91.0,92.3,94.3,78.6,63.3,60.4
35184,Bibb County,1007,55.8,66.5,66.8,76.2,85.9,88.9,91.0,92.3,94.3,78.6,63.3,60.4
36792,Bibb County,1007,55.8,66.5,66.8,76.2,85.9,88.9,91.0,92.3,94.3,78.6,63.3,60.4
35456,Bibb County,1007,55.8,66.5,66.8,76.2,85.9,88.9,91.0,92.3,94.3,78.6,63.3,60.4
35031,Blount County,1009,52.2,61.2,62.7,74.5,83.7,86.2,89.5,90.0,92.5,75.2,60.8,58.6
35121,Blount County,1009,52.2,61.2,62.7,74.5,83.7,86.2,89.5,90.0,92.5,75.2,60.8,58.6
35063,Blount County,1009,52.2,61.2,62.7,74.5,83.7,86.2,89.5,90.0,92.5,75.2,60.8,58.6
35016,Blount County,1009,52.2,61.2,62.7,74.5,83.7,86.2,89.5,90.0,92.5,75.2,60.8,58.6
35079,Blount County,1009,52.2,61.2,62.7,74.5,83.7,86.2,89.5,90.0,92.5,75.2,60.8,58.6
35097,Blount County,1009,52.2,61.2,62.7,74.5,83.7,86.2,89.5,90.0,92.5,75.2,60.8,58.6
35133,Blount County,1009,52.2,61.2,62.7,74.5,83.7,86.2,89.5,90.0,92.5,75.2,60.8,58.6
35957,Blount County,1009,52.2,61.2,62.7,74.5,83.7,86.2,89.5,90.0,92.5,75.2,60.8,58.6
35126,Blount County,1009,52.2,61.2,62.7,74.5,83.7,86.2,89.5,90.0,92.5,75.2,60.8,58.6
35049,Blount County,1009,52.2,61.2,62.7,74.5,83.7,86.2,89.5,90.0,92.5,75.2,60.8,58.6
35172,Blount County,1009,52.2,61.2,62.7,74.5,83.7,86.2,89.5,90.0,92.5,75.2,60.8,58.6
