state,Million Btu,kWH
North Dakota,99.8,29248.492786000003
Montana,94.5,27695.216115000003
Missouri,90.8,26610.853156
West Virginia,90.7,26581.546049000004
Wyoming,89.1,26112.632337
Nebraska,87.2,25555.797304000003
South Dakota,83.5,24471.434345
Indiana,83.1,24354.205917
Tennessee,83.1,24354.205917
Kentucky,82.7,24236.977489
Kansas,80.3,23533.606921000002
Maine,79.9,23416.378493000004
Ohio,79.1,23181.921637
New Hampshire,79.1,23181.921637
Michigan,78.9,23123.307423000002
Iowa,78.5,23006.078995
Arkansas,78.1,22888.850567
Oklahoma,77.9,22830.236353000004
Illinois,77.8,22800.929246
Vermont,77.6,22742.315032
Minnesota,77.0,22566.472390000003
Wisconsin,76.8,22507.858176
Pennsylvania,75.4,22097.558678000005
South Carolina,74.3,21775.180501
Idaho,74.0,21687.25918
Alabama,73.3,21482.109431
Louisiana,71.8,21042.502826
Virginia,71.8,21042.502826
Delaware,71.3,20895.967291
Georgia,70.2,20573.589114000002
North Carolina,69.9,20485.667793000004
Connecticut,69.6,20397.746472
Maryland,68.8,20163.289616000002
Mississippi,67.4,19752.990118
Alaska,67.1,19665.068797
New Jersey,66.0,19342.69062
Washington,63.7,18668.627159000003
Colorado,63.3,18551.398731
Massachusetts,63.0,18463.47741
Texas,62.1,18199.713447000002
Rhode Island,60.9,17848.028163
New York,60.1,17613.571307000002
District of Columbia,59.8,17525.649986
Oregon,59.0,17291.19313
New Mexico,57.4,16822.279418000002
Arizona,56.9,16675.743883
Nevada,56.8,16646.436776
Florida,56.2,16470.594134000003
Utah,56.2,16470.594134000003
California,36.5,10697.094055000001
Hawaii,24.1,7063.012787000001
