GEOID10,dni
601,4.67040012
602,5.000000133333334
603,5.3639999
606,4.392
610,4.709999925
612,5.044800159999999
616,5.04
617,5.24400015
622,5.856
623,5.104000133333333
624,4.776000000000001
637,5.052
638,4.57800015
641,4.6416
646,5.504000166666667
647,5.7359996
650,4.648
652,5.472
653,5.424000299999999
656,4.710000150000001
659,5.087999866666666
660,4.848
662,5.232
664,4.497600180000001
667,5.58400005
669,4.7588571
670,4.5840000000000005
674,5.045999999999999
676,4.92960004
678,5.327999933333333
680,4.9782858
682,4.944
683,4.54799985
685,4.88160008
687,4.6559999
688,4.848
690,5.712000000000001
692,4.896
693,5.2860000750000005
698,4.4799999
703,4.82399985
704,5.6400003
705,4.848
707,5.49600025
715,5.472
716,5.712000000000001
719,4.68
720,4.494
723,5.271999933333333
725,4.832
727,4.727999700000001
728,5.544
729,5.0
730,5.448
731,4.4784
735,5.09999985
736,5.024
738,5.583999933333334
739,4.9440002
745,5.300571471428571
751,5.3489999375
754,4.920000000000001
757,5.7599998
765,5.856
766,4.068
767,5.16
769,4.792000000000001
771,5.016000099999999
772,5.728000000000001
773,5.508000000000001
775,5.887999866666667
777,5.088
778,4.859999999999999
780,4.008
782,4.56
783,4.6919997
784,5.442000075
791,5.6400003
794,4.626000074999999
795,4.5039999
802,6.0
820,6.036
830,5.952000000000001
850,5.7599998
851,5.8079996
911,5.904
926,4.727999700000001
953,4.7439999
956,4.640000199999999
957,4.6080003
959,4.584
961,5.303999999999999
971,4.56
976,4.92
985,5.472
987,4.932
1002,4.470000075000001
1005,4.578000074999999
1007,4.488
1008,4.579199999999999
1009,4.488
1010,4.57920006
1011,4.488
1012,4.48799985
1013,4.5360003
1020,4.44
1022,4.44
1026,4.48
1028,4.4639997
1029,4.5
1031,4.6080003
1032,4.512
1033,4.488
1034,4.539428528571428
1035,4.409999925
1036,4.45199985
1038,4.416
1039,4.488
1040,4.487999899999999
1050,4.536
1054,4.54800015
1056,4.48799985
1057,4.5
1060,4.368
1062,4.452
1068,4.56
1069,4.481999925
1070,4.488
1073,4.493999925
1075,4.41599985
1077,4.52
1082,4.572
1083,4.56
1085,4.488
1088,4.4639997
1089,4.524
1092,4.584
1093,4.52400015
1096,4.584
1098,4.488000100000001
1106,4.488
1119,4.416
1201,4.208000000000001
1220,4.2
1223,4.429714242857143
1225,4.168
1226,4.266000000000001
1230,4.274666799999999
1235,4.376
1236,4.296
1237,4.2390000375
1238,4.27200006
1240,4.224
1243,4.368
1245,4.344
1247,4.26240012
1253,4.44
1254,4.248
1255,4.4736
1256,4.368
1257,4.3500000000000005
1258,4.391999925
1259,4.3919997
1260,4.248
1262,4.28400015
1264,4.33200015
1266,4.288000199999999
1267,4.139999933333333
1270,4.416
1301,4.4000001
1330,4.5360003
1331,4.536
1337,4.464
1338,4.5360003
1339,4.39799985
1340,4.47839982
1341,4.524
1342,4.488
1343,4.296
1344,4.512
1346,4.488
1350,4.308
1351,4.43999985
