month,lat,lng,temp
Apr,42.75,-124.75,11.1
Apr,47.75,-124.75,9.3
Apr,48.25,-124.75,8.95
Apr,48.75,-124.75,7.949999999999999
Apr,49.25,-124.75,7.15
Aug,42.75,-124.75,16.65
Aug,47.75,-124.75,17.2
Aug,48.25,-124.75,17.4
Aug,48.75,-124.75,15.950000000000001
Aug,49.25,-124.75,17.049999999999997
Dec,42.75,-124.75,9.350000000000001
Dec,47.75,-124.75,6.4
Dec,48.25,-124.75,5.699999999999999
Dec,48.75,-124.75,4.85
Dec,49.25,-124.75,2.8
Feb,42.75,-124.75,7.0
Feb,47.75,-124.75,3.5
Feb,48.25,-124.75,2.6500000000000004
Feb,48.75,-124.75,1.0
Feb,49.25,-124.75,-0.6499999999999999
Jan,42.75,-124.75,10.2
Jan,47.75,-124.75,7.199999999999999
Jan,48.25,-124.75,6.35
Jan,48.75,-124.75,5.300000000000001
Jan,49.25,-124.75,3.5
Jul,42.75,-124.75,16.55
Jul,47.75,-124.75,16.700000000000003
Jul,48.25,-124.75,17.05
Jul,48.75,-124.75,15.7
Jul,49.25,-124.75,16.9
Jun,42.75,-124.75,14.8
Jun,47.75,-124.75,14.1
Jun,48.25,-124.75,14.15
Jun,48.75,-124.75,12.95
Jun,49.25,-124.75,13.45
Mar,42.75,-124.75,8.65
Mar,47.75,-124.75,6.45
Mar,48.25,-124.75,5.95
Mar,48.75,-124.75,4.85
Mar,49.25,-124.75,3.4
May,42.75,-124.75,13.45
May,47.75,-124.75,13.15
May,48.25,-124.75,12.95
May,48.75,-124.75,12.05
May,49.25,-124.75,12.05
Nov,42.75,-124.75,10.45
Nov,47.75,-124.75,7.5
Nov,48.25,-124.75,7.0
Nov,48.75,-124.75,6.35
Nov,49.25,-124.75,4.45
Oct,42.75,-124.75,12.149999999999999
Oct,47.75,-124.75,9.9
Oct,48.25,-124.75,9.55
Oct,48.75,-124.75,8.7
Oct,49.25,-124.75,7.6
Sep,42.75,-124.75,15.149999999999999
Sep,47.75,-124.75,14.55
Sep,48.25,-124.75,14.45
Sep,48.75,-124.75,13.2
Sep,49.25,-124.75,13.1
Apr,39.75,-124.25,11.600000000000001
Apr,40.25,-124.25,11.2
Apr,40.75,-124.25,11.7
Apr,41.25,-124.25,12.2
Apr,41.75,-124.25,11.6
Apr,42.25,-124.25,10.5
Apr,42.75,-124.25,10.5
Apr,43.25,-124.25,11.7
Apr,43.75,-124.25,10.8
Apr,44.25,-124.25,10.0
Apr,44.75,-124.25,9.95
Apr,45.25,-124.25,9.3
Apr,46.25,-124.25,9.45
Apr,46.75,-124.25,9.45
Apr,47.25,-124.25,9.600000000000001
Apr,47.75,-124.25,8.8
Apr,48.25,-124.25,8.15
Apr,48.75,-124.25,7.0
Apr,49.25,-124.25,7.85
Aug,39.75,-124.25,16.7
Aug,40.25,-124.25,16.5
Aug,40.75,-124.25,15.95
Aug,41.25,-124.25,19.1
Aug,41.75,-124.25,18.4
Aug,42.25,-124.25,17.2
Aug,42.75,-124.25,17.950000000000003
Aug,43.25,-124.25,19.2
Aug,43.75,-124.25,17.3
Aug,44.25,-124.25,16.55
Aug,44.75,-124.25,16.25
Aug,45.25,-124.25,15.45
Aug,46.25,-124.25,16.25
Aug,46.75,-124.25,16.6
Aug,47.25,-124.25,16.2
Aug,47.75,-124.25,15.45
Aug,48.25,-124.25,15.35
Aug,48.75,-124.25,16.7
Aug,49.25,-124.25,17.85
Dec,39.75,-124.25,9.2
Dec,40.25,-124.25,9.95
Dec,40.75,-124.25,10.75
Dec,41.25,-124.25,8.55
Dec,41.75,-124.25,8.3
Dec,42.25,-124.25,7.85
Dec,42.75,-124.25,7.25
Dec,43.25,-124.25,7.9
Dec,43.75,-124.25,8.05
Dec,44.25,-124.25,7.5
Dec,44.75,-124.25,7.699999999999999
Dec,45.25,-124.25,7.4
Dec,46.25,-124.25,7.35
Dec,46.75,-124.25,7.05
Dec,47.25,-124.25,6.6
Dec,47.75,-124.25,5.95
Dec,48.25,-124.25,5.1
Dec,48.75,-124.25,3.4
Dec,49.25,-124.25,3.6
Feb,39.75,-124.25,7.3
Feb,40.25,-124.25,7.65
Feb,40.75,-124.25,8.35
Feb,41.25,-124.25,7.1
Feb,41.75,-124.25,6.65
Feb,42.25,-124.25,5.699999999999999
Feb,42.75,-124.25,5.2
Feb,43.25,-124.25,6.0
Feb,43.75,-124.25,5.95
Feb,44.25,-124.25,5.05
Feb,44.75,-124.25,5.050000000000001
Feb,45.25,-124.25,4.65
Feb,46.25,-124.25,4.45
Feb,46.75,-124.25,4.2
Feb,47.25,-124.25,3.8
Feb,47.75,-124.25,2.9000000000000004
Feb,48.25,-124.25,1.8499999999999999
Feb,48.75,-124.25,-0.25
Feb,49.25,-124.25,-0.050000000000000044
Jan,39.75,-124.25,10.1
Jan,40.25,-124.25,10.8
Jan,40.75,-124.25,11.5
Jan,41.25,-124.25,9.600000000000001
Jan,41.75,-124.25,9.45
Jan,42.25,-124.25,8.55
Jan,42.75,-124.25,8.0
Jan,43.25,-124.25,8.7
Jan,43.75,-124.25,8.899999999999999
Jan,44.25,-124.25,8.35
Jan,44.75,-124.25,8.6
Jan,45.25,-124.25,8.2
Jan,46.25,-124.25,8.1
Jan,46.75,-124.25,7.800000000000001
Jan,47.25,-124.25,7.4
Jan,47.75,-124.25,6.6
Jan,48.25,-124.25,5.55
Jan,48.75,-124.25,4.0
Jan,49.25,-124.25,4.45
Jul,39.75,-124.25,16.65
Jul,40.25,-124.25,16.35
Jul,40.75,-124.25,15.65
Jul,41.25,-124.25,19.15
Jul,41.75,-124.25,18.35
Jul,42.25,-124.25,17.05
Jul,42.75,-124.25,17.7
Jul,43.25,-124.25,18.9
Jul,43.75,-124.25,17.2
Jul,44.25,-124.25,16.25
Jul,44.75,-124.25,15.95
Jul,45.25,-124.25,15.05
Jul,46.25,-124.25,15.75
Jul,46.75,-124.25,16.2
Jul,47.25,-124.25,15.700000000000001
Jul,47.75,-124.25,15.0
Jul,48.25,-124.25,14.95
Jul,48.75,-124.25,16.3
Jul,49.25,-124.25,17.7
Jun,39.75,-124.25,15.5
Jun,40.25,-124.25,14.75
Jun,40.75,-124.25,14.600000000000001
Jun,41.25,-124.25,17.15
Jun,41.75,-124.25,16.3
Jun,42.25,-124.25,14.95
Jun,42.75,-124.25,15.2
Jun,43.25,-124.25,16.4
Jun,43.75,-124.25,15.100000000000001
Jun,44.25,-124.25,14.100000000000001
Jun,44.75,-124.25,13.899999999999999
Jun,45.25,-124.25,13.15
Jun,46.25,-124.25,13.65
Jun,46.75,-124.25,13.8
Jun,47.25,-124.25,13.6
Jun,47.75,-124.25,12.75
Jun,48.25,-124.25,12.55
Jun,48.75,-124.25,13.0
Jun,49.25,-124.25,14.35
Mar,39.75,-124.25,9.15
Mar,40.25,-124.25,8.85
Mar,40.75,-124.25,9.600000000000001
Mar,41.25,-124.25,9.100000000000001
Mar,41.75,-124.25,8.5
Mar,42.25,-124.25,7.65
Mar,42.75,-124.25,7.449999999999999
Mar,43.25,-124.25,8.55
Mar,43.75,-124.25,8.05
Mar,44.25,-124.25,7.1
Mar,44.75,-124.25,7.25
Mar,45.25,-124.25,6.65
Mar,46.25,-124.25,6.8
Mar,46.75,-124.25,6.6
Mar,47.25,-124.25,6.6
Mar,47.75,-124.25,5.75
Mar,48.25,-124.25,5.05
Mar,48.75,-124.25,3.5
Mar,49.25,-124.25,4.1
May,39.75,-124.25,12.5
May,40.25,-124.25,12.3
May,40.75,-124.25,12.5
May,41.25,-124.25,14.350000000000001
May,41.75,-124.25,13.8
